Disease Name,Symptoms,Medicine Name,Dosage Instructions
Food Poisoning,"Nausea, Vomiting, Diarrhea",Ventolin,Take before sleep
Hypertension,"Skin rash, Fever",Zinc Sulfate,Inject once daily
Malaria,"Abdominal pain, High fever, Loss of appetite",Rifampin,Apply cream twice a day
Arthritis,"Wheezing, Shortness of breath",Aspirin,1 tablet every 12 hours
Mumps,"Fever, Cough, Fatigue",Azithromycin,Take 2 tablets daily after meals
Hepatitis C,"Jaundice, Dark urine, Fatigue",Chloroquine,Apply cream twice a day
Typhoid,"Headache, Dizziness, Blurred vision",Chloroquine,1 tablet every 12 hours
Chickenpox,"Fever, Cough, Fatigue",Chloroquine,Take 2 tablets daily after meals
Influenza,"Nausea, Sensitivity to light",Artemether,Use inhaler as needed
Hepatitis C,"Headache, Dizziness, Blurred vision",Aspirin,Take 1 tablet every 6 hours
Diabetes,"Facial pain, Runny nose, Headache",Isoniazid,1 tablet every 12 hours
Asthma,"Skin rash, High fever, Bleeding gums",Hydroxychloroquine,Inject once daily
Diabetes,"Chills, Sweating, Muscle pain",Metformin,Take before sleep
Migraine,"Wheezing, Shortness of breath",Vitamin C,1 capsule every morning with food
Hypertension,"Facial pain, Runny nose, Headache",Methotrexate,1 tablet every 12 hours
Measles,"Shortness of breath, Chest pain",Chloroquine,Use inhaler as needed
Influenza,"Sneezing, Sore throat",Rifampin,1 tablet every 12 hours
Mumps,"Jaundice, Dark urine, Fatigue",Rifampin,Take 1 tablet every 6 hours
Bronchitis,"Cough, Mucus production",Metformin,1 tablet every 12 hours
Influenza,"Joint pain, Swelling",Hydroxychloroquine,Take 1 tablet every 6 hours
Hypertension,"Wheezing, Shortness of breath",Aspirin,1 tablet every 12 hours
Tuberculosis,"Swollen salivary glands, Fever",Paracetamol,Take 5ml syrup before bedtime
Chickenpox,"Chills, Sweating, Muscle pain",Omeprazole,Use inhaler as needed
Measles,"Frequent urination, Increased thirst",Losartan,Take 2 tablets daily after meals
Dengue,"Shortness of breath, Chest pain",Zinc Sulfate,Apply cream twice a day
Hepatitis C,"Nausea, Vomiting, Diarrhea",Chloroquine,Take with water after meals
Hepatitis C,"Persistent cough, Weight loss, Night sweats",Zinc Sulfate,1 capsule every morning with food
Hepatitis C,"Nausea, Sensitivity to light",Aspirin,Apply cream twice a day
Pneumonia,"Cough, Mucus production",Methotrexate,Take 2 tablets daily after meals
Food Poisoning,"Wheezing, Shortness of breath",Zinc Sulfate,Take with water after meals
Common Cold,"Skin rash, Fever",Omeprazole,Take with water after meals
Pneumonia,"Joint pain, Swelling",Rifampin,Use inhaler as needed
Food Poisoning,"Skin rash, High fever, Bleeding gums",Loratadine,Take with water after meals
Common Cold,"Wheezing, Shortness of breath",Paracetamol,Take 1 tablet every 6 hours
Common Cold,"Abdominal pain, High fever, Loss of appetite",Loratadine,Take before sleep
Chickenpox,"Joint pain, Swelling",Ventolin,Inject once daily
Common Cold,"Nausea, Vomiting, Diarrhea",Prednisone,Use inhaler as needed
Hypertension,"Swollen salivary glands, Fever",Prednisone,Take before sleep
Diabetes,"Shortness of breath, Chest pain",Ibuprofen,Take before sleep
Common Cold,"Nausea, Vomiting, Diarrhea",Methotrexate,Take 5ml syrup before bedtime
Common Cold,"Headache, Dizziness, Blurred vision",Amoxicillin,Take 2 tablets daily after meals
Chickenpox,"Abdominal pain, High fever, Loss of appetite",Artemether,Take 2 tablets daily after meals
Influenza,"Red spots on skin, Fever",Rifampin,Take 2 tablets daily after meals
Measles,"Nausea, Sensitivity to light",Ibuprofen,1 capsule every morning with food
Dengue,"Facial pain, Runny nose, Headache",Losartan,Take with water after meals
Sinusitis,"Nausea, Sensitivity to light",Loratadine,Take with water after meals
Migraine,"Persistent cough, Weight loss, Night sweats",Doxycycline,Take with water after meals
Measles,"Abdominal pain, High fever, Loss of appetite",Artemether,Take 2 tablets daily after meals
Sinusitis,"Chills, Sweating, Muscle pain",Omeprazole,Apply cream twice a day
Influenza,"Shortness of breath, Chest pain",Losartan,Inject once daily
Sinusitis,"Fever, Cough, Fatigue",Methotrexate,Take with water after meals
Migraine,"Facial pain, Runny nose, Headache",Azithromycin,Apply cream twice a day
Hepatitis B,"Skin rash, High fever, Bleeding gums",Metformin,Take 1 tablet every 6 hours
Hypertension,"Skin rash, Fever",Losartan,Take 5ml syrup before bedtime
Pneumonia,"Joint pain, Swelling",Paracetamol,Inject once daily
Malaria,"Joint pain, Swelling",Cetirizine,Take before sleep
Typhoid,"Facial pain, Runny nose, Headache",Omeprazole,Take before sleep
Diabetes,"Skin rash, Fever",Metformin,Inject once daily
Food Poisoning,"Cough, Mucus production",Aspirin,1 capsule every morning with food
Sinusitis,"Persistent cough, Weight loss, Night sweats",Doxycycline,1 tablet every 12 hours
Diabetes,"Frequent urination, Increased thirst",Cetirizine,Take 5ml syrup before bedtime
Pneumonia,"Skin rash, Fever",Zinc Sulfate,Take 1 tablet every 6 hours
Pneumonia,"Nausea, Sensitivity to light",Omeprazole,1 capsule every morning with food
Sinusitis,"Joint pain, Swelling",Metformin,Take before sleep
Chickenpox,"Headache, Dizziness, Blurred vision",Loratadine,Take with water after meals
Tuberculosis,"Abdominal pain, High fever, Loss of appetite",Aspirin,Take 5ml syrup before bedtime
Asthma,"Nausea, Vomiting, Diarrhea",Losartan,Take 1 tablet every 6 hours
Asthma,"Joint pain, Swelling",Azithromycin,Inject once daily
Migraine,"Jaundice, Dark urine, Fatigue",Aspirin,Take 1 tablet every 6 hours
Pneumonia,"Fever, Loss of taste/smell",Vitamin C,Take 1 tablet every 6 hours
Hepatitis B,"Red spots on skin, Fever",Metformin,Take before sleep
Pneumonia,"Cough, Mucus production",Artemether,Take 2 tablets daily after meals
COVID-19,"Nausea, Vomiting, Diarrhea",Artemether,Take with water after meals
Dengue,"Frequent urination, Increased thirst",Chloroquine,Use inhaler as needed
Hypertension,"Skin rash, Fever",Losartan,Apply cream twice a day
Diabetes,"Skin rash, Fever",Rifampin,Take 5ml syrup before bedtime
Chickenpox,"Jaundice, Dark urine, Fatigue",Rifampin,Use inhaler as needed
Food Poisoning,"Cough, Mucus production",Hydroxychloroquine,Take with water after meals
Arthritis,"Facial pain, Runny nose, Headache",Artemether,Take with water after meals
Asthma,"Shortness of breath, Chest pain",Azithromycin,1 tablet every 12 hours
Typhoid,"Skin rash, High fever, Bleeding gums",Hydroxychloroquine,1 capsule every morning with food
COVID-19,"Persistent cough, Weight loss, Night sweats",Aspirin,Take 1 tablet every 6 hours
Mumps,"Fever, Cough, Fatigue",Ventolin,Take before sleep
Typhoid,"Skin rash, High fever, Bleeding gums",Paracetamol,Take 5ml syrup before bedtime
Measles,"Skin rash, High fever, Bleeding gums",Paracetamol,Use inhaler as needed
Sinusitis,"Skin rash, High fever, Bleeding gums",Methotrexate,1 tablet every 12 hours
Sinusitis,"Facial pain, Runny nose, Headache",Aspirin,1 capsule every morning with food
Hepatitis C,"Wheezing, Shortness of breath",Aspirin,Take 2 tablets daily after meals
COVID-19,"Fever, Loss of taste/smell",Metformin,Apply cream twice a day
Asthma,"Skin rash, High fever, Bleeding gums",Prednisone,Inject once daily
Chickenpox,"Wheezing, Shortness of breath",Ibuprofen,Take with water after meals
Hepatitis C,"Shortness of breath, Chest pain",Isoniazid,Inject once daily
Mumps,"Sneezing, Sore throat",Isoniazid,Inject once daily
Bronchitis,"Frequent urination, Increased thirst",Amoxicillin,Inject once daily
Pneumonia,"Skin rash, Fever",Hydroxychloroquine,Inject once daily
Hypertension,"Headache, Dizziness, Blurred vision",Ventolin,Apply cream twice a day
Malaria,"Headache, Dizziness, Blurred vision",Paracetamol,Take 5ml syrup before bedtime
Arthritis,"Abdominal pain, High fever, Loss of appetite",Ventolin,Take 1 tablet every 6 hours
Measles,"Sneezing, Sore throat",Cetirizine,Take before sleep
Dengue,"Headache, Dizziness, Blurred vision",Ibuprofen,1 tablet every 12 hours
COVID-19,"Headache, Dizziness, Blurred vision",Prednisone,1 tablet every 12 hours
Malaria,"Fever, Loss of taste/smell",Doxycycline,Apply cream twice a day
Hepatitis B,"Swollen salivary glands, Fever",Amoxicillin,Take before sleep
Hepatitis B,"Skin rash, High fever, Bleeding gums",Rifampin,Take with water after meals
Hepatitis C,"Nausea, Sensitivity to light",Losartan,Use inhaler as needed
Influenza,"Abdominal pain, High fever, Loss of appetite",Prednisone,Take before sleep
Dengue,"Nausea, Sensitivity to light",Ibuprofen,Take 1 tablet every 6 hours
COVID-19,"Facial pain, Runny nose, Headache",Hydroxychloroquine,Use inhaler as needed
Measles,"Swollen salivary glands, Fever",Doxycycline,Use inhaler as needed
Asthma,"Jaundice, Dark urine, Fatigue",Amoxicillin,Use inhaler as needed
Migraine,"Shortness of breath, Chest pain",Ventolin,Take 5ml syrup before bedtime
Tuberculosis,"Joint pain, Swelling",Doxycycline,Take 5ml syrup before bedtime
Migraine,"Fever, Cough, Fatigue",Methotrexate,Take 1 tablet every 6 hours
Chickenpox,"Nausea, Vomiting, Diarrhea",Omeprazole,Take 5ml syrup before bedtime
Pneumonia,"Sneezing, Sore throat",Isoniazid,Take 2 tablets daily after meals
Typhoid,"Abdominal pain, High fever, Loss of appetite",Zinc Sulfate,1 capsule every morning with food
Mumps,"Skin rash, Fever",Isoniazid,Apply cream twice a day
Tuberculosis,"Cough, Mucus production",Amoxicillin,Take with water after meals
Migraine,"Red spots on skin, Fever",Chloroquine,1 capsule every morning with food
Hepatitis C,"Swollen salivary glands, Fever",Methotrexate,Inject once daily
Hepatitis C,"Red spots on skin, Fever",Rifampin,Take 2 tablets daily after meals
Diabetes,"Abdominal pain, High fever, Loss of appetite",Omeprazole,Take with water after meals
Measles,"Fever, Cough, Fatigue",Azithromycin,1 capsule every morning with food
Food Poisoning,"Jaundice, Dark urine, Fatigue",Isoniazid,Take 1 tablet every 6 hours
Typhoid,"Fever, Cough, Fatigue",Prednisone,Apply cream twice a day
Food Poisoning,"Frequent urination, Increased thirst",Cetirizine,Take with water after meals
Typhoid,"Abdominal pain, High fever, Loss of appetite",Vitamin C,Take 5ml syrup before bedtime
Dengue,"Facial pain, Runny nose, Headache",Losartan,1 tablet every 12 hours
Malaria,"Jaundice, Dark urine, Fatigue",Isoniazid,Take 2 tablets daily after meals
Mumps,"Jaundice, Dark urine, Fatigue",Metformin,Use inhaler as needed
Malaria,"Skin rash, High fever, Bleeding gums",Ventolin,Inject once daily
Influenza,"Shortness of breath, Chest pain",Cetirizine,1 tablet every 12 hours
Hypertension,"Fever, Loss of taste/smell",Hydroxychloroquine,Take 2 tablets daily after meals
Hepatitis B,"Skin rash, Fever",Vitamin C,Take with water after meals
Sinusitis,"Nausea, Vomiting, Diarrhea",Metformin,1 tablet every 12 hours
Hepatitis B,"Skin rash, Fever",Omeprazole,Use inhaler as needed
Typhoid,"Swollen salivary glands, Fever",Artemether,Take before sleep
Migraine,"Headache, Dizziness, Blurred vision",Ibuprofen,Apply cream twice a day
Dengue,"Headache, Dizziness, Blurred vision",Hydroxychloroquine,Use inhaler as needed
Bronchitis,"Chills, Sweating, Muscle pain",Aspirin,Take 1 tablet every 6 hours
Malaria,"Wheezing, Shortness of breath",Methotrexate,Take 2 tablets daily after meals
Dengue,"Frequent urination, Increased thirst",Prednisone,Apply cream twice a day
Diabetes,"Fever, Cough, Fatigue",Metformin,Apply cream twice a day
Tuberculosis,"Skin rash, Fever",Aspirin,1 capsule every morning with food
Malaria,"Cough, Mucus production",Amoxicillin,Take 2 tablets daily after meals
Migraine,"Swollen salivary glands, Fever",Prednisone,Use inhaler as needed
Chickenpox,"Chills, Sweating, Muscle pain",Zinc Sulfate,Use inhaler as needed
Sinusitis,"Sneezing, Sore throat",Azithromycin,1 capsule every morning with food
Diabetes,"Red spots on skin, Fever",Rifampin,1 tablet every 12 hours
Diabetes,"Nausea, Sensitivity to light",Omeprazole,Take with water after meals
Pneumonia,"Nausea, Sensitivity to light",Doxycycline,Take 5ml syrup before bedtime
Measles,"Skin rash, High fever, Bleeding gums",Omeprazole,Take before sleep
Influenza,"Abdominal pain, High fever, Loss of appetite",Chloroquine,Use inhaler as needed
Arthritis,"Fever, Loss of taste/smell",Doxycycline,Inject once daily
Mumps,"Chills, Sweating, Muscle pain",Methotrexate,Apply cream twice a day
COVID-19,"Nausea, Vomiting, Diarrhea",Methotrexate,Use inhaler as needed
Hepatitis C,"Frequent urination, Increased thirst",Vitamin C,1 tablet every 12 hours
Mumps,"Headache, Dizziness, Blurred vision",Isoniazid,Take before sleep
Common Cold,"Swollen salivary glands, Fever",Rifampin,Take with water after meals
Asthma,"Wheezing, Shortness of breath",Metformin,Apply cream twice a day
Malaria,"Abdominal pain, High fever, Loss of appetite",Prednisone,Take before sleep
Hepatitis C,"Swollen salivary glands, Fever",Ibuprofen,Apply cream twice a day
Mumps,"Nausea, Sensitivity to light",Rifampin,Use inhaler as needed
Mumps,"Fever, Loss of taste/smell",Chloroquine,1 capsule every morning with food
Sinusitis,"Fever, Loss of taste/smell",Paracetamol,1 tablet every 12 hours
Influenza,"Swollen salivary glands, Fever",Ibuprofen,Inject once daily
Measles,"Skin rash, High fever, Bleeding gums",Paracetamol,Take 5ml syrup before bedtime
Chickenpox,"Nausea, Vomiting, Diarrhea",Hydroxychloroquine,Apply cream twice a day
Migraine,"Facial pain, Runny nose, Headache",Losartan,Use inhaler as needed
Bronchitis,"Abdominal pain, High fever, Loss of appetite",Amoxicillin,Take before sleep
Malaria,"Sneezing, Sore throat",Vitamin C,Apply cream twice a day
Hepatitis B,"Shortness of breath, Chest pain",Vitamin C,Take 1 tablet every 6 hours
Mumps,"Fever, Cough, Fatigue",Doxycycline,1 tablet every 12 hours
Hypertension,"Shortness of breath, Chest pain",Chloroquine,Take 5ml syrup before bedtime
Dengue,"Wheezing, Shortness of breath",Losartan,Take 2 tablets daily after meals
Mumps,"Cough, Mucus production",Metformin,Take with water after meals
Measles,"Wheezing, Shortness of breath",Doxycycline,Inject once daily
Measles,"Facial pain, Runny nose, Headache",Doxycycline,Take with water after meals
Measles,"Jaundice, Dark urine, Fatigue",Cetirizine,Inject once daily
Food Poisoning,"Nausea, Sensitivity to light",Methotrexate,Take before sleep
Influenza,"Skin rash, High fever, Bleeding gums",Losartan,Take 2 tablets daily after meals
Food Poisoning,"Facial pain, Runny nose, Headache",Amoxicillin,1 capsule every morning with food
Arthritis,"Frequent urination, Increased thirst",Azithromycin,1 capsule every morning with food
Hypertension,"Fever, Loss of taste/smell",Omeprazole,1 capsule every morning with food
Malaria,"Abdominal pain, High fever, Loss of appetite",Omeprazole,Take 2 tablets daily after meals
Diabetes,"Frequent urination, Increased thirst",Doxycycline,Take 2 tablets daily after meals
Measles,"Headache, Dizziness, Blurred vision",Prednisone,Inject once daily
Chickenpox,"Persistent cough, Weight loss, Night sweats",Ibuprofen,Apply cream twice a day
Food Poisoning,"Chills, Sweating, Muscle pain",Rifampin,Take before sleep
Tuberculosis,"Cough, Mucus production",Chloroquine,Inject once daily
Measles,"Skin rash, Fever",Loratadine,Inject once daily
Diabetes,"Fever, Cough, Fatigue",Isoniazid,Take 2 tablets daily after meals
Hepatitis B,"Nausea, Sensitivity to light",Paracetamol,Take before sleep
Typhoid,"Headache, Dizziness, Blurred vision",Cetirizine,Use inhaler as needed
Migraine,"Abdominal pain, High fever, Loss of appetite",Doxycycline,1 tablet every 12 hours
Migraine,"Persistent cough, Weight loss, Night sweats",Isoniazid,Take before sleep
Typhoid,"Facial pain, Runny nose, Headache",Losartan,Take with water after meals
Migraine,"Shortness of breath, Chest pain",Ibuprofen,1 capsule every morning with food
Tuberculosis,"Frequent urination, Increased thirst",Amoxicillin,Take 5ml syrup before bedtime
Pneumonia,"Headache, Dizziness, Blurred vision",Paracetamol,Take before sleep
Hepatitis C,"Jaundice, Dark urine, Fatigue",Omeprazole,Use inhaler as needed
Tuberculosis,"Chills, Sweating, Muscle pain",Chloroquine,Take 2 tablets daily after meals
Tuberculosis,"Nausea, Vomiting, Diarrhea",Prednisone,Take with water after meals
Arthritis,"Wheezing, Shortness of breath",Amoxicillin,1 capsule every morning with food
Tuberculosis,"Shortness of breath, Chest pain",Artemether,Use inhaler as needed
Sinusitis,"Fever, Cough, Fatigue",Prednisone,Take 5ml syrup before bedtime
Arthritis,"Nausea, Vomiting, Diarrhea",Losartan,Take before sleep
Chickenpox,"Headache, Dizziness, Blurred vision",Amoxicillin,1 tablet every 12 hours
Measles,"Headache, Dizziness, Blurred vision",Aspirin,Take before sleep
Arthritis,"Chills, Sweating, Muscle pain",Prednisone,Inject once daily
Arthritis,"Skin rash, Fever",Loratadine,Inject once daily
Hepatitis B,"Joint pain, Swelling",Isoniazid,Take with water after meals
Hepatitis B,"Persistent cough, Weight loss, Night sweats",Ibuprofen,Apply cream twice a day
Diabetes,"Wheezing, Shortness of breath",Methotrexate,Take 1 tablet every 6 hours
Hepatitis C,"Shortness of breath, Chest pain",Ventolin,Take 2 tablets daily after meals
Asthma,"Persistent cough, Weight loss, Night sweats",Zinc Sulfate,1 capsule every morning with food
Malaria,"Jaundice, Dark urine, Fatigue",Cetirizine,Take 1 tablet every 6 hours
